id,execution_time_ms
1,460.982667
2,423.394333
3,4270.922333
4,1117.318333
5,2950.306333
6,46665.741333
7,2936.819667
8,1085.618000
9,1072.475667
10,1218.104333
11,473.128333
12,896.658000
13,548.975667
14,557.321667
15,550.858667
16,557.277667
17,583.041667
18,641.354333
19,105190.342667
20,9834.947000
21,9276.940667
22,341.631000
23,284.100667
24,326.401000
25,326.428000
26,284.943667
27,331.328000
28,320.458667
29,253.249667
30,279.839667
31,321.622000
32,254.602000
33,277.902667
34,1885.559667
35,1993.106333
36,1973.368667
37,755.482333
38,421.689333
39,610.596667
40,152.855000
41,171.914333
42,176.607667
43,107.377667
44,495.543667
45,494.425000
46,4.601667
47,619.949667
48,623.376333
49,195.519667
50,188.118667
51,94.778333
52,107.818333
53,112.990333
54,38.926333
55,300000.0
56,300000.0
57,300000.0
58,999.000000
59,767.363667
60,1479.704000
61,5335.428333
62,3166.169000
63,2886.881667
64,2839.616000
65,2413.136000
66,2420.901667
67,53.997667
68,229.501333
69,76.152000
70,47.043333
71,219.141000
72,77.010667
73,347.344333
74,350.136667
75,387.034000
76,394.635667
77,375.909667
78,399.365667
79,45.696333
80,22.172333
81,66.631333
82,174.493667
83,423.527000
84,156.177000
85,5999.309000
86,4585.454000
87,4362.692333
88,186.221667
89,4158.320333
90,7461.113000
91,2496.776667
92,1904.393000
93,1791.363333
94,535.042000
95,420.394667
96,480.485667
97,610.571000
98,662.959000
99,440.136667
100,542.888333
101,575.675000
102,432.412333
103,2253.678333
104,612.037000
105,285.921000
106,76.884000
107,173.289333
108,149.134000
109,300000.0
110,300000.0
111,300000.0
112,192.138333
113,245.588333
114,118.459333
115,50.215000
116,39.482333
117,41.344000
118,39.952000
119,41.592333
120,34.060667
121,271.721000
122,473.725333
123,395.588000
124,271.308333
125,442.811000
126,392.152667
127,1017.013000
128,858.734000
129,659.738333
130,121.447333
131,124.331667
132,120.433000
133,122.722000
134,116.347667
135,114.564000
136,300000.0
137,300000.0
138,300000.0
139,233.862667
140,218.564000
141,260.348667
142,32.890333
143,70.184333
144,341.283000
145,26.530000
146,56.343333
147,296.632000
148,608.715333
149,903.491000
150,659.639333
151,528.074000
152,744.061333
153,672.823333
154,3332.086333
155,1184.207333
156,1061.441000

