id,execution_time_ms
1,2276.801667
2,349.774333
3,17255.574000
4,322.396000
5,0.035667
6,44427.781000
7,21152.591333
8,887.275333
9,3695.584000
10,1186.497333
11,1117.628333
12,1000.609333
13,1147.745333
14,1125.531333
15,2699.117333
16,0.042333
17,15674.071333
18,7989.456667
19,13239.116333
20,985.611333
21,2688.310000
22,5345.463667
23,1009.958000
24,5867.078667
25,14459.219667
26,1043.282000
27,7862.484667
28,1110.914333
29,1152.637000
30,846.384333
31,933.628000
32,5250.274000
33,1036.257667
34,318.909000
35,8081.685000
36,912.103667
37,2490.873667
38,2641.824000
39,6882.260667
40,46065.676333
41,846.724667
42,2364.593667
43,9.645333
44,944.323667
45,2419.842333
46,7975.872667
47,15397.463000
48,19125.512000
49,110578.926000
50,300000
51,923.181000
52,20823.333667
53,300000
54,32196.217000
55,10140.321667
56,300000
57,59163.319000
58,24335.278000
