id,execution_time_s
3,9.705169
4,0.157099
5,0.000203
6,1.999764
7,2.765842
8,0.741551
12,0.830999
13,0.794587
14,0.776112
16,0.339772
17,9.638168
19,3.907262
20,0.745656
21,1.398194
22,2.396549
24,0.800184
25,8.826185
26,0.791542
28,0.869001
29,0.796831
33,0.760272
34,0.219521
36,0.749441
37,1.407546
38,1.538970
39,0.713074
40,0.952677
43,0.009206
44,0.009270
47,1.025199
49,
50,9.287901
51,0.011492
53,20.545564
58,17.302427
